Emotion,EigenFace 1,EigenFace 2,EigenFace 3,EigenFace 4,EigenFace 5,EigenFace 6,EigenFace 7,EigenFace 8,EigenFace 9,EigenFace 10,EigenFace 11,EigenFace 12,EigenFace 13,EigenFace 14,EigenFace 15,EigenFace 16,EigenFace 17,EigenFace 18,EigenFace 19,EigenFace 20,EigenFace 21,EigenFace 22,EigenFace 23,EigenFace 24,EigenFace 25,EigenFace 26,EigenFace 27,EigenFace 28,EigenFace 29,EigenFace 30
neutral,2298.18,2757.93,-2712.04,241.156,-555.258,-1616.78,-956.849,878.54,55.8585,-418.038,-839.81,1131.53,1126.59,-191.346,298.634,389.569,68.8379,-1614,-1117.55,-220.624,-204.945,1140.15,-1037.74,205.462,-2059.24,114.259,138.617,158.611,432.659,-45.8394
neutral,4201.69,1932.59,-1936.94,-928.165,-10.3011,577.923,1218.76,1654.49,1675.3,1099.53,-1848.49,59.2058,935.169,685.132,-1039.58,436.851,-970.08,-1153.16,-581.621,-1209.4,779.242,-45.7318,-141.116,730.688,171.796,-789.979,916.664,-927.407,-76.6157,879.466
neutral,-2446.96,182.762,128.717,1522.9,-138.301,-4781.14,1380.8,-3279.51,3202.78,-1423.28,-2074.3,-2042.19,1451.97,-25.5579,374.829,533.684,-587.477,448.253,-429.488,-245.176,1811.19,256.796,732.671,528.222,1340.56,1513.24,174.526,-1490.62,48.4197,588.137
neutral,-699.043,-660.227,957.987,-495.081,859.182,-1620.96,3313.27,-1787.97,3068.87,-2488.08,-1346.62,597.518,245.554,1178.19,-1811.05,1403.78,281.883,-776.691,274.841,-115.529,1560.35,138.512,1293.88,174.44,939.636,-1100.79,-341.556,-56.5668,-151.83,355.035
neutral,2191.09,4496.5,321.615,-1184.33,1670.62,1095.63,2246.11,992.429,1776.07,2393.5,-117.901,-828.415,1663.91,61.3283,-1242.33,-710.981,581.44,-1562.18,539.795,249.412,-259.669,30.5568,262.259,893.392,-52.0576,-739.71,-245.872,188.279,-610.895,838.782
neutral,3535.59,4970.14,9.85966,-2049.62,-1060.79,172.628,-1107.2,990.116,-2139.32,379.052,-175.903,259.066,414.761,505.7,-913.678,499.878,1181.74,-878.971,-1198.7,-475.641,-1072.45,927.247,-1462.44,-235.464,-146.227,-1595.66,-1321.52,-613.8,-292.574,-73.5514
neutral,2239.73,2264.99,-226.989,-5704.7,115.105,955.263,-618.031,-1928.16,-406.578,-963.686,3204.58,1951.49,-588.272,563.278,-209.54,407.912,1554.13,-1679.16,-827.283,-1096.62,-1794.73,1363.07,-643.679,23.451,654.078,-399.619,845.283,-2152.24,-259.991,-295.41
neutral,-1518.28,4542.13,-932.583,396.51,1447.35,-1003.92,975.299,633.06,1032.55,1420.88,-2166.22,624.961,1377.58,-1159.45,-99.5461,-689.163,1072.15,381.588,1244.42,544.129,-91.2404,-1521.83,974.888,-43.2228,-215.021,-1020.81,308.313,341.094,478.591,-394.639
neutral,-3077.04,3791.52,996.733,1587.64,2339.26,-2864.24,712.441,724.282,880.869,1266.22,907.558,-928.002,1128.22,140.642,31.8059,644.822,1545.93,1244.45,1534.09,1655.83,-1336.2,271.279,-1277.74,-712.266,1466.69,-737.112,-615.348,976.934,394.393,250.505
neutral,-3145.77,3261.11,2609.79,-4320.18,3611.18,832.456,2220.19,-3259.01,-292.016,325.535,-842.322,977.369,-2116.24,-443.622,2162.85,-2563,1285.46,-990.941,316.673,-211.911,-1234.15,1053.06,2284.97,260.198,-990.359,425.895,-1065.97,-142.774,440.228,-1771.58
neutral,-279.533,3937.55,-832.416,245.895,1430.94,-1898.57,-31.3352,-1510.11,-2152.68,1243.98,2038.89,827.485,-299.454,-641.004,-343.657,2110.12,1975.58,78.2916,1378.82,-32.3051,-257.442,-1620.48,172.457,-879.599,548.227,479.371,413.432,25.8202,-1381.46,764.242
neutral,-296.479,3578.8,-460.117,2495.65,1907.59,-1391.36,852.085,1406.4,27.5058,978.284,-921.696,1232.67,534.606,-1496.59,-964.714,-205.834,426.762,-1554.5,407.219,1222.99,-302.597,196.471,1742.13,-342.741,37.4804,395.851,220.502,1141.21,281.695,-442.351
neutral,1826.13,3940.83,-11.8498,-1008.83,-79.5301,-932.309,-156.098,-2197.19,-1465.45,730.374,1346.07,1490.18,477.721,2062.74,-1260.07,-500.246,1969.61,-524.53,288.663,-336.812,1132.23,-1550.12,-1126.97,1594.38,1191.74,606.623,-644.951,1338.31,-1134.01,-89.8498
neutral,355.74,5450.65,-4406.58,-1989.01,-2679.78,746.172,1498.1,-15.2423,-5591.04,-3372.89,-1526.14,38.4056,-956.644,-451.746,-2024.59,45.1193,542.129,-1860.33,-1694.89,-1324.37,299.159,1545.95,-833.088,991.612,-947.825,1250.27,779.86,910.829,648.342,650.639
neutral,458.591,4929.05,651.306,2023.41,392.723,-1424.67,1082.93,-749.421,-3176.93,1620.12,694.017,196.952,1068.62,1411.09,-1394.85,264.123,2228.18,1664.42,922.505,-1580.46,344.07,-1257.12,-588.478,-114.252,-488.577,195.547,-458.263,584.221,-560.171,-838.243
neutral,-5526.43,4917.23,-1844.2,2372.51,837.048,-1411.18,3237.41,2184.62,1563.05,-1554.24,-633.45,-1828.26,-3086.59,-1958.6,-287.765,445.686,-675.969,1816.78,151.882,844.642,425.331,-959.141,100.307,838.366,696.637,1004.14,1108.42,-851.011,282.991,-23.4244
neutral,-2898.38,2479.98,2216.44,-4210.74,-149.561,-2022.44,4229.71,-2231.35,-2405.11,1303.4,-2522.73,-1321.52,-799.49,-65.8438,-223.507,137.976,170.389,1961.94,2161.13,-352.56,-2857.13,893.637,465.736,-344.279,-696.211,-4128.98,-95.0857,1655.66,-963.664,-227.204
neutral,-2348.03,5171.53,-2669.31,3482.14,-530.615,1053.54,4856.13,1739.13,-1347.5,1189.2,-2501.62,-437.611,48.528,309.219,-1731.92,-895.463,1161.83,1089.46,2409.62,-1041.99,-47.7737,-1027.97,-732.662,258.822,1290.93,-680.293,328.233,508.888,-632.294,-184.073
neutral,-2893.39,5327.77,-4893.38,1837.65,456.531,1744.51,4829.46,3077.29,524.776,-1312.63,-1035.93,-1137.09,-2323.33,-294.848,-1585.73,-672.11,-1547.99,-429.244,1455.92,-994.926,-1674.58,-999.779,915.213,-630.567,-705.784,427.056,-302.103,518.785,-278.589,-406.6
neutral,481.396,4734.7,-2779.73,-687.21,4803.44,3928.92,-5416.75,307.423,897.272,-1395.65,-904.185,160.197,853.184,-130.17,-1178.22,-66.3599,704.531,-1020.66,-89.0592,-1002.65,-143.446,258.54,211.708,-373.931,1220.33,-70.9298,495.692,847.817,758.385,-461.97
neutral,1114.32,1553.95,-2279.23,-1241.97,338.643,38.0295,582.36,-1858.45,2416.46,-980.085,-471.396,1313.68,-2224.95,-47.6755,552.222,-3331.15,-1197.7,187.81,-1057.72,-434.074,1841.44,-332.133,-1542.56,530.918,356.85,-31.0535,1830.38,-16.3421,-568.475,-1117.48
neutral,-2724.03,5646.03,-4204.35,333.229,2355.64,-1707.34,415.64,-258.023,-1339.17,-1476.66,-2509.49,-2247.51,-465.51,-1554.89,528.856,-1166,-1317.78,2186.56,1233.32,166.505,-366.039,-635.908,1340.36,1032.37,-724.971,1181.53,736.323,-920.409,947.403,-126.155
neutral,-1084.58,-1238.55,545.87,-2033.26,-335.335,-4504.01,1788.98,-896.333,364.965,1377.47,-3482.48,-618.208,2534.76,379.173,-755.798,1230.8,-186.3,444.385,-259.144,1798.01,-530.873,-30.7969,-198.646,379.404,93.8706,-263.941,-2016.22,-440.362,605.394,-1297.84
neutral,940.004,4686.26,-3398.6,-560.718,-776.481,-747.981,1742.12,2007.47,2680.93,1466.42,421.656,-223.456,-1550.67,-1282.48,-260.019,1869.73,-2281.46,-2545.88,468.234,841.927,-455.912,1826.75,-262.853,545.594,-650.671,-464.929,-230.587,154.245,-299.867,-501.71
neutral,-1968.34,4114.25,-2518.95,-0.2076,3685.64,-1558.25,-227.336,-1352.94,109.335,665.801,-89.4852,81.7881,-2623.64,-1095.3,723.883,378.377,40.9252,-590.585,-506.911,1224.37,-1857.6,-359.847,-330.14,-765.5,963.464,459.794,-189.185,-341.767,783.61,-113.112
neutral,-2294.87,5313.25,-130.602,60.9726,3483.99,-1622.78,1345.99,1104.06,2047,1217.93,-607.012,-1764.78,-1155.55,-918.29,-58.7255,204.891,-135.24,634.324,-40.3424,859.913,716.109,-370.709,-419.974,551.332,-55.2434,-883.344,-676.853,386.406,1032.67,286.623
neutral,-1127.9,4951.09,-461.118,-431.555,3455.13,1312.05,123.868,2274.34,2437.33,2396.95,-214.532,-1249.42,1362.76,-40.5916,-468.362,-272.108,1161.45,685.792,357.004,-520.498,218.309,-1421.29,-209.655,-315.852,672.362,-1997.46,-495.863,908.863,842.713,491.063
neutral,1854.66,3679.4,-2398.34,429.424,-24.4274,-1620.33,-1585.84,512.527,198.122,-3274.17,-1523.58,472.551,247.573,917.687,-635.348,-432.227,-139.171,-889.642,-149.154,788.833,300.515,988.207,-944.424,365.613,257.329,-324.893,287.638,979.567,428.541,-337.728
neutral,3965.96,2306.74,-1594.08,-1632.22,-792.34,433.501,-772.944,230.151,-1896.48,2287.81,3232.97,819.665,-1586.05,1144.36,31.4487,781.084,486.083,775.223,170.87,-1204.04,271.843,-1013.88,-264.631,844.141,-697.897,-20.0947,-887.145,-1419.52,-438.53,-422.542
neutral,2327.04,4534.23,733.13,-1653.95,890.035,-486.388,2366.01,-2124.46,477.994,82.5157,407.719,-385.213,-365.975,1782.6,-772.376,-812.686,199.656,-1292.55,-636.351,207.009,529.67,224.765,217.424,876.936,79.9658,607.229,-1309.91,503.355,-359.197,-342.612
neutral,2092.19,5012.83,-1882.61,1768.65,-128.317,-850.244,-1395.75,-984.978,-1725.73,-40.2296,1668.39,1461.49,-1247.84,571.611,620.168,-3.92086,-202.157,-187.262,281.991,-235.031,-703.281,-516.052,474.67,808.124,454.199,-205.289,-503.008,563.908,507.38,168.901
neutral,3364.7,3212.07,-1048.08,-112.172,18.2665,1240.45,347.175,2004.76,1354.17,1611.16,-1230.56,156.491,2648.62,1492.37,-957.433,-1375.45,703.573,-1746.13,400.245,-451.344,-189.931,-799.22,597.296,1068.29,-330.576,-782.182,88.2992,-1905.58,-270.633,533.244
neutral,-4285.81,2208.87,953.808,-1186.76,3817.06,-2320.86,552.409,-3843.38,-787.782,436.494,1891.7,1439.98,-1356.03,-360.469,-448.438,-973.96,1706.38,1121.91,474.668,287.242,-1131.78,38.3104,-91.1141,-1046.74,693.57,286.065,1010.22,526.884,787.93,1055.69
neutral,-138.425,1749.88,51.1357,-2447.37,3052.63,529.432,-4489.05,4436.11,-1456.74,2131.62,-3540.33,-567.372,2660.08,-746.588,75.571,764.461,204.627,2301.46,1925.84,1015.85,111.883,-85.818,-330.38,-2192.73,-1395.79,1468.31,532.626,456.193,-2351.15,-38.2764
neutral,-663.464,2774.23,-1109.48,-173.093,-331.648,-3425.49,242.967,-2592.02,-376.212,2029.31,-803.749,389.149,3796.04,69.6185,514.107,12.5505,2019.83,159.579,-1346.94,743.247,-612.235,-798.815,-917.806,-164.77,-270.778,627.472,-282.726,998.326,-100.226,-716.182
neutral,-2838.23,715.04,75.3685,1264.17,1107.69,-4428.85,1593.68,-3478.85,2779.07,303.587,-957.467,-3222.79,1065.16,-194.382,0.400372,-1012.97,293.927,1568.05,170.204,1772.65,332.402,346.693,99.0862,-293.798,1074.27,363.144,440.301,-240.312,281.891,-749.67
neutral,1426.87,1952.03,-1300.54,2658.61,755.302,-301.614,-203.142,-1517.34,-136.675,1953.06,-2552.2,1095.6,843.32,-1564.65,-1090.55,-2192.34,168.679,-864.155,1064.12,-1295.76,701.838,-431.179,2057.02,-210.782,-961.933,727.355,-256.673,590.227,-45.0621,429
neutral,1215.34,4984.29,-242.914,1672.28,3404.46,246.836,387.728,2473.71,581.703,-75.4039,-1128.63,-485.056,56.3934,-353.687,-749.357,-769.505,-1196.88,-628.98,585.643,512.956,-113.057,26.1918,765.656,1035.7,176.609,-910.771,253.424,375.359,613.215,431.428
neutral,1059.31,4242.38,-221.852,866.968,-138.849,-964.639,1324.1,1828.41,2339.86,-1339.06,-1274.42,-6.67837,43.5885,543.734,-839.992,923.814,381.323,-911.072,-894.635,-84.5614,599.068,501.023,692.083,90.0059,-247.163,-419.285,534.263,211.727,468.834,146.573
neutral,1583.88,3453.67,-851.979,623.057,2285.46,596.08,618.838,-737.942,-1050.62,3280.44,569.961,-74.0319,-3631.15,-571.285,-677.282,-354.341,893.546,-888.981,39.4543,252.826,-417.224,-596.328,36.43,-285.833,-1667.81,-72.8418,-440.864,461.854,62.637,-579.828
neutral,-4261.83,4252.4,139.056,1249.63,568.853,-3016.98,-541.409,5.55271,2460.16,-454.531,-1186.79,-1541.29,-207.916,-624.102,956.139,662.508,1215.4,748.963,71.9871,2171.54,-1315.46,250.449,528.829,-296.427,1238.33,945.307,-662.363,-569.867,634.781,-159.494
neutral,1330.78,3745.64,-2963.53,2030.58,964.964,-331.322,-2458.95,264.725,-1164.68,962.338,1545.59,1969.65,566.523,-569.402,-208.053,796.071,-275.876,241.096,798.209,-1599.11,-806.964,714.211,332.759,-312.534,-32.2754,194.473,-375.585,512.49,-82.1165,656.639
neutral,1241.47,5843.97,-665.933,193.109,1504.74,-1599.97,-981.484,-315.434,-2745.31,1269.74,2093.11,389.907,43.4679,254.612,1267.52,150.489,725.432,414.117,-88.1623,-1283.53,378.988,-1007.45,-418.143,-371.84,-745.122,50.2336,-76.8629,-60.7865,522.427,466.941
neutral,1257.97,5140.1,-2141.4,1038.92,514.659,-516.854,-528.526,-1490.93,-2243.68,2084.64,2076.9,-321.859,-1857.69,378.928,703.507,1635.79,777.233,-833.358,1178.18,-2046.41,1302.42,-1630.75,970.35,435.261,-884.929,-1930.78,247.134,-494.632,-660.746,712.937
neutral,-2297.66,3071.03,-953.933,3071.24,318.239,-2343.73,-625.991,1038.13,2149.22,3.17954,-3530.75,98.5684,-782.096,104.449,1046.25,1013.2,-73.9653,396.114,255.368,-272.841,-358.459,-2128.15,126.692,109.635,-350.578,-301.155,-1048.12,-1280.46,890.879,24.8197
neutral,-980.679,4728.22,-1009,1548.29,2851.62,-2552.33,-771.938,-671.193,-1293.16,1007.59,-1172.58,213.015,-207.5,-335.825,-904.25,-727.437,-333.201,1818.71,956.341,-681.936,-310.264,-776.822,617.403,582.512,1197.16,484.035,385.901,1306.23,950.713,452.67
neutral,-445.869,4618.19,-888.173,1685.78,2195.34,-711.136,-1314.52,-702.674,-430.67,685.557,-2664.23,-779.207,1613.83,-474.536,-839.001,-1346.67,1190.53,1398.32,1254.09,-635.26,1612.75,-998.58,466.349,390.807,-127.478,317.152,414.49,368.262,45.0322,765.365
neutral,-5887.96,1738.58,-325.918,1227.92,2780.96,-3578.75,-578.926,815.347,1923.24,2571.38,-1235.5,-532.485,14.8789,562.843,1540.28,-902.203,-1273.39,1695.26,-614.242,779.498,-614.056,508.954,-222.827,-426.734,377.775,248.763,-2403.1,-1042.39,1398.86,1.31437
neutral,999.71,1809.19,2500.95,-702.339,1075.99,-1149.67,-70.6996,3238.43,-837.61,-1603.5,-1267.21,3071.98,-897.628,396.658,-999.634,-510.341,-1054.57,866.471,-584.982,1057.25,220.645,1513.02,-615.966,-756.39,539.38,1274.98,-24.1576,-45.1985,404.801,688.575
neutral,-32.9356,1691.17,-2122.14,-1873.83,1813.33,-4190.17,-1742.14,-1172.81,-2972.75,-460.772,1151.03,1008.68,-449.666,-3055.17,949.524,1318.69,-187.882,-592.71,-344.855,-642.705,-127.555,392.896,-503.309,-1622.44,-180.569,-284.235,-843.36,-1536.57,325.515,1292.16
neutral,-786.475,4860.75,-283.139,-797.568,1402.3,-1322.48,-2407.07,-349.084,-906.611,-2908.25,-3569.76,-174.821,-354.209,-682.983,-112.156,530.255,992.139,72.396,-1173.64,473.39,11.8343,-53.0088,-197.615,673.639,-337.406,26.9636,-47.873,-689.737,571.279,-402.822
neutral,3190.46,2753.96,3735.63,-5557.44,488.487,-370.504,1353.37,-270.18,-522.736,-12.3208,234.328,-1264.03,829.072,1796.25,-1726.66,639.687,-1116.09,104.219,-870.089,1139.22,-571.155,944.206,626.454,2413.02,2008.28,-215.316,-397.709,-1221.05,1015.88,552.852
neutral,2668.46,3742.19,827.94,-1252.34,296.77,-2144.53,-1690.12,1175.13,-2629.33,-690.085,1056.69,1984.89,1276.5,882.433,235.196,508.278,-792.09,226.561,1079.8,582.411,-1177.92,-752.37,-1077.68,-298.608,257.35,1155.87,138.175,195.341,170.848,16.538
neutral,1760.1,4125,-1201.45,-1618.28,1191.94,-1014.07,-1416.84,1412.39,-1452.29,-584.507,-943.162,1940.7,476.38,-1046.01,-518.336,1472.74,-207.227,-608.797,346.607,555.538,-1045.71,946.756,-389.843,-209.904,-451.331,308.393,190.693,779.086,-177.341,395.003
neutral,3364.88,2975.31,-1213.68,60.0698,-982.146,-46.933,-345.213,1335.22,304.862,950.218,-1013.18,717.302,2626.74,1404.41,-1287.74,-1904.71,230.534,13.8238,382.186,-1088.4,530.184,-219.118,-379.405,218.935,-637.197,-174.057,-1202.05,-1306.57,-600.991,-515.409
